Year,Forecasted Viewership,Actual Viewership,Percentage Difference (%)
2020,5.296031902709192,2.15,-59.40356781272098
2021,5.360069930553861,2.43,-54.66477058166094
2022,5.411300352829846,4.59,-15.177504468040592
2023,5.452284690650834,2.6,-52.31356857688881
