Year,Forecasted Viewership,Actual Viewership,Percentage Difference (%)
2020,13.633067680084967,9.94,-27.089043836258213
2021,13.255414372955466,11.75,-11.356977085732659
2022,12.953291727251864,11.8,-8.903464474790631
2023,12.711593610688984,9.11,-28.33313997436529
