Year,Forecasted Viewership,Actual Viewership,Percentage Difference (%)
2021,99.00717873756058,91.63,-7.451155392595675
2022,98.2782722950563,99.18,0.9175249868419487
2023,97.69514714105289,115.1,17.81547330474652
2024,97.22864701785015,123.4,26.917327130290182
