Year,Forecasted Viewership,Actual Viewership,Percentage Difference (%)
2020,15.257094784238374,7.5,-50.84254174164262
2021,14.864113748263847,9.91,-33.32935842772661
2022,14.549728919484226,12.4,-14.775044479388358
2023,14.298221056460529,11.64,-18.591271221530274
2024,14.097014766041571,11.3,-19.84118490660395
